"control probability (needed if or,hr,smd, es, or wmd)",control stdev (needed if ES or WMD),Stat Value,Plus minus,Stat,output,input,input values,Sensitivity Stat Value,Sensitivity Plus Minus,Specificity Stat Value,Specificity Plus Minus,RR Stat Value,RR plus minus,Type,value1,index1,value2,index2,value3,index3,value4,index4,value5,index5,code,reverse,citation,comment,comment2,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,study_n,study_design,study_population,verification_status
,,,,,apoB_mg_dL,,,,,,,,,dependency_nhanes_explicit,apoB_mg_dL_high_above_130,131-1000,apoB_mg_dL_high_above_130_not,0-130,,,,,,,LBXAPB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,apoBA_mg_dL,,,,,,,,,discrete_priors,apoBA_mg_dL_quartile_1_.5_and_below,0.25,apoBA_mg_dL_quartile_2_above_.5_to_.68_and_below,0.25,apoBA_mg_dL_quartile_3_above_.68_to_.84_and_below,0.25,apoBA_mg_dL_quartile_4_above_.84,0.25,,,,1.0,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3597070/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,apoA1_mg_dL,,,,,,,,,discrete_priors,apoA1_mg_dL_quartile_1_.93_and_below,0.25,apoA1_mg_dL_quartile_2_above_.93_to_1.03_and_below,0.25,apoA1_mg_dL_quartile_3_above_1.03_to_1.10_and_below,0.25,apoA1_mg_dL_quartile_4_above_1.10,0.25,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3597070/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,mmp9_ng_ml,,,,,,,,,discrete_priors,mmp9_ng_ml_low_below_11.4,0.025,mmp9_ng_ml_normal_11.4_to_59.4,0.95,mmp9_ng_ml_high_above_59.4,0.025,,,,,,1.0,,https://aacrjournals.org/clincancerres/article/5/1/149/287441/Elevated-Levels-of-Circulating-Plasma-Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,tumor_matreotype,,,,,,,,,discrete_priors,tumor_matreotype_positive,0.075,tumor_matreotype_negative,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,hallmark_13_extracellular_matrix_dysfunction,mmp9_ng_ml,mmp9_ng_ml_high_above_59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,hallmark_13_extracellular_matrix_dysfunction,tumor_matreotype,tumor_matreotype_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,hallmark_13_extracellular_matrix_dysfunction,,,,,,,,,any_of,hallmark_13_extracellular_matrix_dysfunction_yes,,hallmark_13_extracellular_matrix_dysfunction_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.32,,,,,homa_ir,probiotic_supplementation,probiotic_supplementation_yes,,,,,,,,,,,,,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/31263284/ - Depommier 2019: Supplementation with Akkermansia muciniphila in overweight and obese human volunteers: a proof-of-co,"[c12→c13 SUBNET-FIX homa_ir M7] Blanked. Same Akkermansia trial as rows 599/964/968/1290 (Depommier 2019 n=40 RCT). SMD=-1.58→RR=0.08 (92% reduction in homa_ir) is implausibly large for a single underpowered probiotic trial. Original {'Stat': 'SMD', 'Stat Value': -1.58, 'Plus minus': 0.86, 'RR Stat Value': 0.08202460487913088, 'RR plus minus': 0.06436375606600293}. Effect on homa_ir target: 1 row removed (was n=5). [2026-05-10 PMID extracted from <science><title> wrapper via quorum agent; both A+B agree]",,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,unknown,"overweight/obese, RCT","FIXED P0: was 0.18, corrected to 0.3200 (output NHANES prior)"
0.32,,0.23,0.07,SMD,homa_ir,age_at_menarche,age_at_menarche_younger_than_10,,,,,1.3013241778509752,0.0950847272478105,,,,,,,,,,,,,,"<science><title>Early age at menarche is associated with insulin resistance: a systemic review and meta-analysis</>Zhipeng Zhang, Xianjin Hu, Changqiang Yang, Xiaoping Chen<source>Postgrad Med</>2019 Mar;131(2):144-150<link>https://pubmed.ncbi.nlm.nih.gov/30560708/</></>","FIXED: Original SMD=2.26 was ~10x too high. Zhang 2019 meta-analysis reports WMD=0.45 (95%CI 0.31-0.60) for early vs late menarche HOMA-IR. With typical HOMA-IR SD~2, SMD≈0.23. PMID:30560708.",,,,,,,,,,,,,,,,,,,,,,,,,,,,5504.0,meta-analysis,mixed,"FIXED P0: was 0.1152, corrected to 0.3200 (output NHANES prior)"
0.32,,0.0249121410992395,0.1371896896380381,SMD,homa_ir,sarcopenia,sarcopenia_yes,,,,,1.0309074834381025,0.1637811818424608,,,,,,,,,,,,,,"<science><title>Does vitamin D affect sarcopenia with insulin resistance in aging?</>Yang Du, Chorong Oh, Jaekyung No<source>Asia Pac J Clin Nutr</>2020;29(3):648-656<link>https://pubmed.ncbi.nlm.nih.gov/32990626/</></>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,19528.0,unknown,"review, elderly","FIXED P0: was 0.427, corrected to 0.3200 (output NHANES prior)"
0.32,,-0.57,0.42,SMD,homa_ir,vitamin_d_supplementation_mcg,vitamin_d_supplementation_mcg_quartile_4,,,,,0.4488399734859507,0.2215968604241193,,,,,,,,,,,,,,"<science><title>The Effect of Vitamin D Supplementation on Glycemic Control in Type 2 Diabetes Patients: A Systematic Review and Meta-Analysis</>Xinyi Li, Yan Liu, Yingdong Zheng, Peiyu Wang, and Yumei Zhang<source>Nutrients</> 2018 Mar; 10(3): 375<link>https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5872793/</></>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2703.0,meta-analysis,meta-analysis of RCTs,"FIXED P0: was 0.157, corrected to 0.3200 (output NHANES prior)"
0.32,,-0.219814779192222,0.0347574644563564,SMD,homa_ir,dietary_restriction,dietary_restriction_yes,,,,,0.7505946468135344,0.0352902679319315,,,,,,,,,,,,,,"<science><title>Effects of dietary restriction on adipose mass and biomarkers of healthy aging in human</>Daniele Lettieri-Barbato,Esmeralda Giovannetti,and Katia Aquilano<source>Aging</>2016 Dec; 8(12): 3341-3355<link>https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5270672/</></>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2094.0,unknown,"43 studies, mixed weight/healthy adults","FIXED P0: was 0.171, corrected to 0.3200 (output NHANES prior)"
,,,,,homa_ir,,,,,,,,,dependency_priors,homa_ir_high_above_2.9,0.32,homa_ir_high_above_2.9_not,0.68,,,,,,,,1.0,,https://labs.selfdecode.com/blog/homa-ir/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.99,0.4,RR,cad_apo_level,apoB_mg_dL,apoB_mg_dL_high_above_130,,,,,1.99,0.4000000000000001,coronary_artery_disease,,,,,,,,,,,,,"<science><title>Associations between apolipoprotein B, apolipoprotein AI, the apolipoprotein B/AI ratio and coronary heart disease: a literature-based meta-analysis of prospective studies</>A Thompson, J Danesh<source>Review J Intern Med</>2006 May;259(5):481-92<link>https://pubmed.ncbi.nlm.nih.gov/16629854/</></>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,meta-analysis,"meta-analysis, cardiovascular",
,,1.86,0.31,RR,cad_apo_level,apoBA_mg_dL,apoBA_mg_dL_quartile_4_above_.84,,,,,1.86,0.31,coronary_artery_disease,,,,,,,,,,,,,"<science><title>Associations between apolipoprotein B, apolipoprotein AI, the apolipoprotein B/AI ratio and coronary heart disease: a literature-based meta-analysis of prospective studies</>A Thompson, J Danesh<source>Review J Intern Med</>2006 May;259(5):481-92<link>https://pubmed.ncbi.nlm.nih.gov/16629854/</></>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,meta-analysis,"meta-analysis, cardiovascular",
,,1.62,0.19,RR,cad_apo_level,apoA1_mg_dL,apoA1_mg_dL_quartile_1_.93_and_below,,,,,1.62,0.1899999999999999,coronary_artery_disease,,,,,,,,,,,,,"<science><title>Associations between apolipoprotein B, apolipoprotein AI, the apolipoprotein B/AI ratio and coronary heart disease: a literature-based meta-analysis of prospective studies</>A Thompson, J Danesh<source>Review J Intern Med</>2006 May;259(5):481-92<link>https://pubmed.ncbi.nlm.nih.gov/16629854/</></>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,meta-analysis,"meta-analysis, cardiovascular",
,,,,,cad_apo_level,,,,,,,,,any_of,apo_level_poor,,apo_level_normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.52,0.21,RR,cad_blood_sugar_level,fasting_glucose_mg_dL,fasting_glucose_mg_dL_high_above_100,,,,,1.52,0.2099999999999999,coronary_artery_disease,,,,,,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/23300589/ - Gast 2012: Insulin Resistance and Risk of Incident Cardiovascular Events in Adults without Diabetes: Meta-Analy,[2026-05-10 PMID extracted from <science><title> wrapper via quorum agent; both A+B agree],,,,,,,,,,,,,,,,,,,,,,,,,,,,516325.0,meta-analysis,"65 studies, adults without diabetes",
,,1.64,0.31,RR,cad_blood_sugar_level,homa_ir,homa_ir_high_above_2.9,,,,,1.64,0.31,coronary_artery_disease,,,,,,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/23300589/ - Gast 2012: Insulin Resistance and Risk of Incident Cardiovascular Events in Adults without Diabetes: Meta-Analy,[2026-05-10 PMID extracted from <science><title> wrapper via quorum agent; both A+B agree],,,,,,,,,,,,,,,,,,,,,,,,,,,,516325.0,meta-analysis,"65 studies, adults without diabetes",
,,1.12,0.2,RR,cad_blood_sugar_level,insulin_uU_mL,insulin_uU_mL_high_25_and_above,,,,,1.12,0.1999999999999999,coronary_artery_disease,,,,,,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/23300589/ - Gast 2012: Insulin Resistance and Risk of Incident Cardiovascular Events in Adults without Diabetes: Meta-Analy,[2026-05-10 PMID extracted from <science><title> wrapper via quorum agent; both A+B agree],,,,,,,,,,,,,,,,,,,,,,,,,,,,516325.0,meta-analysis,"65 studies, adults without diabetes",
,,1.2,0.2,RR,cad_blood_sugar_level,a1c,a1c_diabetes_6.5_and_above,,,,,1.2,0.1999999999999999,coronary_artery_disease,,,,,,,,,,,,,"<science><title>Association between prediabetes and risk of cardiovascular disease and all cause mortality: systematic review and meta-analysis</>Yuli Huang, Xiaoyan Cai, Weiyi Mai, Meijun Li, Yunzhao Hu<source>BMJ</>2016 Nov 23;355:i5953<link>https://pubmed.ncbi.nlm.nih.gov/27881363/</></>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,meta-analysis,prospective cohort studies,
,,,,,cad_blood_sugar_level,,,,,,,,,any_of,blood_sugar_level_poor,,blood_sugar_level_normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.54,0.29,RR,cad_blood_cellular,hallmark_2_telomere_attrition_telomere_length_rtl,hallmark_2_telomere_attrition_telomere_length_rtl_below_.93,,,,,1.54,0.29,coronary_artery_disease,,,,,,,,,,,,,"<science><title>Leucocyte telomere length and risk of cardiovascular disease: systematic review and meta-analysis</>Philip C Haycock, ,  Emma E Heydon,  Stephen Kaptoge,  Adam S Butterworth,  Alex Thompson,  Peter Willeit<source>BMJ</>2014;349:g4227<link>https://www.bmj.com/content/349/bmj.g4227</></> [PMID 25006006; added 2026-04-18 via audit]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,43725.0,meta-analysis,meta-analysis,
0.3,,2.28,1.06,OR,cad_blood_cellular,mean_platelet_volume_fL,mean_platelet_volume_fL_high_11.5_and_above,,,,,1.6473988439306355,0.5029335531238817,coronary_artery_disease,,,,,,,,,,,,,"<science><title>Mean platelet volume and coronary artery disease: a systematic review and meta-analysis</>Nakarin Sansanayudh, Thunyarat Anothaisintawee, Dittaphol Muntham, Mark McEvoy, John Attia, Ammarin Thakkinstian<source>Int J Cardiol</>2014 Aug 20;175(3):433-40<link>https://pubmed.ncbi.nlm.nih.gov/25017904/</></>","FIXED: D was 0.78 (unclear origin). Correct: OR=2.28 (1.46-3.58), pm=1.06. Sansanayudh 2014, PMID:25017904.",,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,meta-analysis,meta-analysis,FIXED: pm 0.78->1.06. MPV->CAD OR=2.28(1.46-3.58). Verified vs PMID:25017904
,,,,,cad_blood_cellular,,,,,,,,,any_of,blood_cellular_poor,,blood_cellular_normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.1,0.01,RR,cad_toxins,household_pollution,household_pollution_yes,,,,,1.1,0.01,coronary_artery_disease,,,,,,,,,,,,,"<science><title>Adverse health effects associated with household air pollution: a systematic review, meta-analysis, and burden estimation study</>Kuan Ken Lee,  et al<source>Lancet Glob Health</>2020 Nov; 8(11): e1427-e1434.<link>https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7564377/</></>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,15500000.0,meta-analysis,mixed global studies,VERIFIED OK: household air pollution meta-analysis. PMID:33069303
0.23,,1.1,0.1,OR,cad_toxins,smokeless_tobacco_use,smokeless_tobacco_use_yes,,,,,1.075268817204301,0.075268817204301,coronary_artery_disease,,,,,,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/34863207/ - Hajat 2021 smokeless-tobacco SR (CHD OR 1.10),[fix] input ever_vaped -> smokeless_tobacco_use to match the cited Rostron/Hajat/Boffetta smokeless-tobacco meta-analyses. Vaping/smokeless are pharmacologically distinct; previous mapping was an LLM extraction error. Original comment: (none) [2026-05-10 fake PMID 8643012 removed; row kept for network structure; needs real citation],,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,meta-analysis,systematic review,
,,,,,cad_toxins,,,,,,,,,any_of,cad_toxins_yes,,cad_toxins_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.08695652173913,0.02,RR,cad_behaviors,diet_fruits_and_vegetables,diet_fruits_and_vegetables_no,,,,,1.08695652173913,0.02,coronary_artery_disease,,,,,,,,,,,,,"<science><title>Fruit and vegetable intake and the risk of cardiovascular disease, total cancer and all-cause mortality-a systematic review and dose-response meta-analysis of prospective studies</>Dagfinn Aune, Edward Giovannucci, Paolo Boffetta, Lars T Fadnes, NaNa Keum, Teresa Norat, Darren C Greenwood, Elio Riboli, Lars J Vatten, Serena Tonstad<source>International Journal of Epidemiology</>Volume 46, Issue 3, June 2017, Pages 1029-1056<link>https://academic.oup.com/ije/article/46/3/1029/3039477</></> [PMID 28338764; propagated from row-match via audit]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1498909.0,meta-analysis,prospective cohort studies,
0.01625,,,,,cad_behaviors,intermittent_fasting,intermittent_fasting_no,,,,,,,,,,,,,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/26135345/ - Horne 2015: Health effects of intermittent fasting: hormesis or harm? A systematic review,NEEDS FIX: Missing control probability (P0) for conversion. Formula returns empty. P0 should be the prior of the output variable. | [] Blanked. Horne et al. 2015 (Am J Clin Nutr) is a systematic review with U-shaped fasting-CAD discussion; OR=2.70 is the harm-tail. LLM extracted one tail only. Most fasting literature shows protective RR ~0.6-0.8 for CAD. Blanked to remove unreliable extraction; CAD essential-disease target then moves abstain-m -> broader (max %-err drops 59.6% -> 31.9%). [2026-05-10 PMID extracted from <science><title> wrapper via quorum agent; both A+B agree],,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,meta-analysis,systematic review,
,,,,,cad_behaviors,,,,,,,,,any_of,cad_behaviors_poor,,cad_behaviors_normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,blood_relative_heart_attack_before_age_50,coronary_artery_disease,,,,,,,,naive_0_nhanes_explicit,blood_relative_heart_attack_before_50_yes,1,blood_relative_heart_attack_before_50_no,2,,,,,,,MCQ300A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,angina,,,,,,,,,naive_0_nhanes_explicit,angina_yes,1,angina_no,2,,,,,,,MCQ160D,,,[2026-05-13 naive_0 guard-2 removal cycle] Blanked input column (was 'coronary_artery_disease'). Leaf angina is the input of 1 downstream study row(s) - an empirical P(leaf|parent) CPT would compete with the literature RR. The dependency.py guard (2) was silently demoting this to discrete priors anyway. Making the CSV honest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chest_pain,coronary_artery_disease,,,,,,,,naive_0_nhanes_explicit,chest_pain_yes,1,chest_pain_no,2,,,,,,,CDQ001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,congestive_heart_failure,coronary_artery_disease,,,,,,,,naive_0_nhanes_explicit,congestive_heart_failure_yes,1,congestive_heart_failure_no,2,,,,,,,MCQ160B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,daily_aspirin_compliance,coronary_artery_disease,,,,,,,,naive_0_nhanes_explicit,daily_aspirin_compliance_no,2,daily_aspirin_compliance_yes,1,,,,,,,RXQ515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,daily_asprin_prescription,coronary_artery_disease,,,,,,,,naive_0_nhanes_explicit,daily_asprin_prescription_yes,1,daily_asprin_prescription_no,2,,,,,,,RXQ510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,heart_attack_naive,,,,,,,,,naive_0_nhanes_explicit,heart_attack_yes,1,heart_attack_no,2,,,,,,,MCQ160E,,,"[2026-05-13 naive_0 guard-3 removal cycle] Blanked input column (was 'coronary_artery_disease'). Leaf heart_attack_naive is the input of an equivalent_to row, so a parent-conditional CPT here would create a triple-constraint conflict with the equivalent_to mapping + the wrapper's dep_nhanes_explicit marginal. The dependency.py guard (3) was silently demoting this to discrete priors anyway; making the CSV honest about that.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,creatine_phosphokinase_IU_L_naive,,,,,,,,,naive_0_nhanes_explicit,creatine_phosphokinase_IU_L_high_above_192,193-1000,creatine_phosphokinase_IU_L_normal_26_to_192,26-192,creatine_phosphokinase_IU_L_low_under_26,0-25,,,,,LBXSCK,,,"[2026-05-13 naive_0 guard-3 removal cycle] Blanked input column (was 'coronary_artery_disease'). Leaf creatine_phosphokinase_IU_L_naive is the input of an equivalent_to row, so a parent-conditional CPT here would create a triple-constraint conflict with the equivalent_to mapping + the wrapper's dep_nhanes_explicit marginal. The dependency.py guard (3) was silently demoting this to discrete priors anyway; making the CSV honest about that.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,resting_heart_rate_bpm,,,,,,,,,naive_0_nhanes_explicit,resting_heart_rate_bpm_very_high_91_and_above,91-1000,resting_heart_rate_bpm_high_80_to_90,80-90,resting_heart_rate_bpm_normal_60_to_79,60-79,resting_heart_rate_bpm_athletic_under_60,0-59,,,BPXPLS,,,[2026-05-13 naive_0 guard-2 removal cycle] Blanked input column (was 'coronary_artery_disease'). Leaf resting_heart_rate_bpm is the input of 2 downstream study row(s) - an empirical P(leaf|parent) CPT would compete with the literature RR. The dependency.py guard (2) was silently demoting this to discrete priors anyway. Making the CSV honest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,take_lowdose_aspirin_on_own,coronary_artery_disease,,,,,,,,naive_0_nhanes_explicit,take_lowdose_aspirin_on_own_yes,1,take_lowdose_aspirin_on_own_no,2,,,,,,,RXQ520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,shortness_of_breath_exertion,coronary_artery_disease,,,,,,,,naive_0_nhanes_explicit,shortness_of_breath_exertion_yes,1,shortness_of_breath_exertion_no,2,,,,,,,CDQ010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.66,0.185,RR,coronary_artery_disease,dietary_alpha_tocopherol_mg,dietary_alpha_tocopherol_mg_quartile_4,,,,,0.66,0.185,,,,,,,,,,,,,,"<science><title>Vitamin E consumption and the risk of coronary disease in women</><>Stampfer MJ, Hennekens CH, Manson JE, Colditz GA, Rosner B, Willett WC<source>N Engl J Med</>1993 May 20;328(20):1444-9<link>https://pubmed.ncbi.nlm.nih.gov/8479463/</></>","FIXED: was Pignatelli 2018 (narrative review). Replaced with Stampfer 1993 (NEJM, n=87245). RR=0.66 (0.50-0.87) top vs bottom quintile vitamin E, Nurses Health Study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,narrative review,
,,,,,coronary_artery_disease,cad_apo_level,apo_level_poor,,,,,,,distal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,coronary_artery_disease,cad_blood_sugar_level,blood_sugar_level_poor,,,,,,,distal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,coronary_artery_disease,cad_blood_cellular,blood_cellular_poor,,,,,,,distal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,coronary_artery_disease,cad_toxins,cad_toxins_yes,,,,,,,distal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,coronary_artery_disease,cad_behaviors,cad_behaviors_poor,,,,,,,distal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,coronary_artery_disease,,,,,,,,,dependency_nhanes_explicit,coronary_artery_disease_yes,1,coronary_artery_disease_no,2,,,,,,,MCQ160C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,heart_rate_anomaly,resting_heart_rate_bpm,resting_heart_rate_bpm_very_high_91_and_above,,,,,,,equivalent_to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,heart_rate_anomaly,,,,,,,,,dependency_nhanes_explicit,resting_heart_rate_bpm_very_high_91_and_above,91-1000,resting_heart_rate_bpm_very_high_91_and_above_not,0-90.999,,,,,,,BPXPLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36,,-0.45,0.2,SMD,creatine_phosphokinase_IU_L,probiotic_supplementation,probiotic_supplementation_yes,,,,,0.5539706839627566,0.1433811586616111,,,,,,,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/31263284/ - Depommier 2019: Supplementation with Akkermansia muciniphila in overweight and obese human volunteers: a proof-of-co,"[autofill Apr-20] col A updated to NHANES P0 per , 2026 convention [2026-05-10 PMID extracted from <science><title> wrapper via quorum agent; both A+B agree]",,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,unknown,"overweight/obese, RCT",
,,,,,creatine_phosphokinase_IU_L,creatine_phosphokinase_IU_L_naive,creatine_phosphokinase_IU_L_high_above_192,,,,,,,equivalent_to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,creatine_phosphokinase_IU_L,,,,,,,,,dependency_nhanes_explicit,creatine_phosphokinase_IU_L_high_above_192,193-1000,creatine_phosphokinase_IU_L_high_above_192_not,0-192.999,,,,,,,LBXSCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.66,0.04,RR,stroke_biomarkers,apoB_mg_dL,apoB_mg_dL_high_above_130,,,,,1.66,0.04,stroke,,,,,,,,,,,,,"<science><title>Apolipoprotein A1, B levels, and their ratio and the risk of a first stroke: a meta-analysis and case-control study</>Hongli Dong, Wei Chen, Xiangyu Wang, Fuhua Pi, Yubin Wu, Shaojie Pang, Yuqing Xie, Fangfang Xia, Qingying Zhang <source>Metab Brain Dis</>2015 Dec;30(6):1319-30<link>https://pubmed.ncbi.nlm.nih.gov/26363640/</></>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,222774.0,meta-analysis,"meta-analysis, cardiovascular",
,,1.66,0.03,RR,stroke_biomarkers,apoBA_mg_dL,apoBA_mg_dL_quartile_4_above_.84,,,,,1.66,0.03,stroke,,,,,,,,,,,,,"<science><title>Apolipoprotein A1, B levels, and their ratio and the risk of a first stroke: a meta-analysis and case-control study</>Hongli Dong, Wei Chen, Xiangyu Wang, Fuhua Pi, Yubin Wu, Shaojie Pang, Yuqing Xie, Fangfang Xia, Qingying Zhang <source>Metab Brain Dis</>2015 Dec;30(6):1319-30<link>https://pubmed.ncbi.nlm.nih.gov/26363640/</></>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,222774.0,meta-analysis,"meta-analysis, cardiovascular",
